Item,Region_Number,Region_Name,Average_Annual_Percent_Growth,Year,Spending,Population,State,SpendingAdjusted,perCapSpendAdjusted
Home Health Care (Millions of Dollars),7,Rocky Mountains,11.7,1990,20,1006734,Idaho,48.00137719969396,4.768029807247392e-05
Home Health Care (Millions of Dollars),3,Great Lakes,10.1,1990,427,11430602,Illinois,1024.829403213466,8.965664303712666e-05
Home Health Care (Millions of Dollars),3,Great Lakes,11.4,1990,147,5544156,Indiana,352.8101224177506,6.3636398834692e-05
Home Health Care (Millions of Dollars),4,Plains,11.6,1990,80,2776831,Iowa,192.00550879877585,6.914555073707253e-05
Home Health Care (Millions of Dollars),4,Plains,11.0,1990,73,2477588,Kansas,175.20502677888297,7.071596519634538e-05
Home Health Care (Millions of Dollars),5,Southeast,11.7,1990,154,3686892,Kentucky,369.6106044376435,0.00010024991359596198
Home Health Care (Millions of Dollars),5,Southeast,12.9,1990,139,4221826,Louisiana,333.609571537873,7.902020868171095e-05
Home Health Care (Millions of Dollars),1,New England,9.3,1990,61,1227928,Maine,146.4042004590666,0.00011922865221663372
Home Health Care (Millions of Dollars),2,Mideast,9.5,1990,202,4780753,Maryland,484.81390971690905,0.00010140952894176065
Home Health Care (Millions of Dollars),1,New England,12.7,1990,492,6016425,Massachusetts,1180.8338791124715,0.00019626836187810394
Home Health Care (Millions of Dollars),3,Great Lakes,12.8,1990,433,9295287,Michigan,1039.2298163733742,0.00011180179981246133
Home Health Care (Millions of Dollars),4,Plains,14.5,1990,194,4375665,Minnesota,465.61335883703146,0.00010640973631140214
Home Health Care (Millions of Dollars),5,Southeast,10.6,1990,127,2575475,Mississippi,304.8087452180567,0.00011835049659501904
Home Health Care (Millions of Dollars),4,Plains,9.8,1990,193,5116901,Missouri,463.21328997704677,9.052613876583635e-05
Home Health Care (Millions of Dollars),7,Rocky Mountains,11.1,1990,30,799065,Montana,72.00206579954094,9.010789585270403e-05
Home Health Care (Millions of Dollars),4,Plains,10.6,1990,34,1578417,Nebraska,81.60234123947974,5.169884842819087e-05
Home Health Care (Millions of Dollars),8,Far West,15.5,1990,47,1201675,Nevada,112.80323641928082,9.387166781307826e-05
Home Health Care (Millions of Dollars),1,New England,10.0,1990,46,1109252,New Hampshire,110.40316755929612,9.952938336761721e-05
Home Health Care (Millions of Dollars),2,Mideast,7.8,1990,453,7747750,New Jersey,1087.2311935730681,0.000140328636516804
Home Health Care (Millions of Dollars),6,Southwest,13.6,1990,35,1515069,New Mexico,84.00241009946444,5.544461017911689e-05
Home Health Care (Millions of Dollars),2,Mideast,9.2,1990,2785,17990778,New York,6684.191775057385,0.0003715343369284744
Home Health Care (Millions of Dollars),5,Southeast,13.7,1990,283,6632448,North Carolina,679.2194873756696,0.000102408565792852
Home Health Care (Millions of Dollars),4,Plains,10.1,1990,12,638800,North Dakota,28.800826319816377,4.508582705043265e-05
Home Health Care (Millions of Dollars),3,Great Lakes,11.0,1990,373,10847115,Ohio,895.2256847742924,8.25312246412334e-05
Home Health Care (Millions of Dollars),6,Southwest,9.8,1990,100,3145576,Oklahoma,240.0068859984698,7.629982108156656e-05
Home Health Care (Millions of Dollars),8,Far West,10.5,1990,58,2842337,Oregon,139.2039938791125,4.897518973967988e-05
Home Health Care (Millions of Dollars),2,Mideast,9.9,1990,515,11882842,Pennsylvania,1236.0354628921195,0.00010401850524412591
Home Health Care (Millions of Dollars),1,New England,8.8,1990,53,1003464,Rhode Island,127.20364957918899,0.0001267645372222511
Home Health Care (Millions of Dollars),5,Southeast,10.5,1990,127,3486310,South Carolina,304.8087452180567,8.743018986207673e-05
Home Health Care (Millions of Dollars),4,Plains,11.3,1990,5,696004,South Dakota,12.00034429992349,1.724177490348258e-05
Home Health Care (Millions of Dollars),5,Southeast,12.1,1990,360,4877203,Tennessee,864.0247895944914,0.00017715579802491128
Home Health Care (Millions of Dollars),6,Southwest,13.3,1990,762,16986335,Texas,1828.85247130834,0.00010766610168163644
Home Health Care (Millions of Dollars),7,Rocky Mountains,16.9,1990,28,1722850,Utah,67.20192807957156,3.900625595935314e-05
Home Health Care (Millions of Dollars),1,New England,10.4,1990,30,562758,Vermont,72.00206579954094,0.0001279449884311568
Home Health Care (Millions of Dollars),5,Southeast,11.3,1990,196,6189197,Virginia,470.4134965570008,7.600557819649315e-05
Home Health Care (Millions of Dollars),8,Far West,10.4,1990,179,4866669,Washington,429.612325937261,8.82764630052426e-05
Home Health Care (Millions of Dollars),5,Southeast,12.6,1990,59,1793477,West Virginia,141.6040627390972,7.89550480653486e-05
Home Health Care (Millions of Dollars),3,Great Lakes,11.3,1990,223,4891954,Wisconsin,535.2153557765878,0.00010940727483876337
Home Health Care (Millions of Dollars),7,Rocky Mountains,7.7,1990,9,453589,Wyoming,21.60061973986228,4.7621568732624204e-05
Prescription Drugs (Millions of Dollars),5,Southeast,10.0,1990,747,4040389,Alabama,1792.8514384085695,0.0004437323827999159
Prescription Drugs (Millions of Dollars),8,Far West,9.8,1990,64,550043,Alaska,153.60440703902069,0.000279258907101846
Prescription Drugs (Millions of Dollars),6,Southwest,11.0,1990,529,3665339,Arizona,1269.6364269319051,0.00034638990470783334
Prescription Drugs (Millions of Dollars),5,Southeast,9.1,1990,386,2350624,Arkansas,926.4265799540935,0.00039411942529051587
Prescription Drugs (Millions of Dollars),8,Far West,9.6,1990,4149,29811427,California,9957.885700076513,0.00033402915264930163
Prescription Drugs (Millions of Dollars),7,Rocky Mountains,9.5,1990,405,3294473,Colorado,972.0278882938028,0.00029504806635046116
Prescription Drugs (Millions of Dollars),1,New England,10.2,1990,595,3287116,Connecticut,1428.0409716908955,0.00043443583119393887
Prescription Drugs (Millions of Dollars),2,Mideast,12.2,1990,114,666168,Delaware,273.6078500382556,0.0004107189928640457
Prescription Drugs (Millions of Dollars),2,Mideast,9.5,1990,86,606900,District of Columbia,206.40592195868405,0.00034009873448456756
Prescription Drugs (Millions of Dollars),5,Southeast,11.2,1990,2122,12938071,Florida,5092.94612088753,0.00039364029776058036
Prescription Drugs (Millions of Dollars),5,Southeast,10.4,1990,1082,6478149,Georgia,2596.874506503443,0.0004008667455014454
Prescription Drugs (Millions of Dollars),8,Far West,10.5,1990,174,1108229,Hawaii,417.6119816373375,0.0003768282382407765
Prescription Drugs (Millions of Dollars),7,Rocky Mountains,9.9,1990,134,1006734,Idaho,321.60922723794954,0.0003194579970855753
Prescription Drugs (Millions of Dollars),3,Great Lakes,9.2,1990,1825,11430602,Illinois,4380.125669472074,0.0003831929122781175
Prescription Drugs (Millions of Dollars),3,Great Lakes,9.3,1990,992,5544156,Indiana,2380.8683091048206,0.00042943746696608474
Prescription Drugs (Millions of Dollars),4,Plains,9.2,1990,463,2776831,Iowa,1111.2318821729152,0.0004001798748908073
Prescription Drugs (Millions of Dollars),4,Plains,9.5,1990,430,2477588,Kansas,1032.0296097934204,0.0004165460963620345
Prescription Drugs (Millions of Dollars),5,Southeast,9.2,1990,693,3686892,Kentucky,1663.2477199693958,0.00045112461118182896
Prescription Drugs (Millions of Dollars),5,Southeast,9.2,1990,728,4221826,Louisiana,1747.2501300688602,0.00041386123683658687
Prescription Drugs (Millions of Dollars),1,New England,10.0,1990,183,1227928,Maine,439.2126013771998,0.0003576859566499011
Prescription Drugs (Millions of Dollars),2,Mideast,10.1,1990,803,4780753,Maryland,1927.2552945677126,0.0004031279789120485
Prescription Drugs (Millions of Dollars),1,New England,10.0,1990,950,6016425,Massachusetts,2280.0654169854633,0.0003789734629760137
Prescription Drugs (Millions of Dollars),3,Great Lakes,8.7,1990,1791,9295287,Michigan,4298.523328232594,0.0004624411627346842
Prescription Drugs (Millions of Dollars),4,Plains,9.7,1990,605,4375665,Minnesota,1452.0416602907424,0.0003318447962288572
Prescription Drugs (Millions of Dollars),5,Southeast,9.3,1990,439,2575475,Mississippi,1053.6302295332825,0.0004091013228756958
Prescription Drugs (Millions of Dollars),4,Plains,9.8,1990,837,5116901,Missouri,2008.8576358071925,0.0003925926328860364
Prescription Drugs (Millions of Dollars),7,Rocky Mountains,9.7,1990,106,799065,Montana,254.40729915837798,0.00031838123201288754
Prescription Drugs (Millions of Dollars),4,Plains,9.9,1990,260,1578417,Nebraska,624.0179035960215,0.0003953441350391066
Prescription Drugs (Millions of Dollars),8,Far West,12.5,1990,158,1201675,Nevada,379.2108798775823,0.0003155685854141779
Prescription Drugs (Millions of Dollars),1,New England,11.0,1990,175,1109252,New Hampshire,420.0120504973222,0.0003786443932463698
Prescription Drugs (Millions of Dollars),2,Mideast,10.2,1990,1411,7747750,New Jersey,3386.497161438409,0.0004370942740070871
Prescription Drugs (Millions of Dollars),6,Southwest,9.7,1990,200,1515069,New Mexico,480.0137719969396,0.0003168263438806679
Prescription Drugs (Millions of Dollars),2,Mideast,10.5,1990,2974,17990778,New York,7137.804789594492,0.0003967479777469597
Prescription Drugs (Millions of Dollars),5,Southeast,10.7,1990,1110,6632448,North Carolina,2664.0764345830153,0.0004016731732511156
Prescription Drugs (Millions of Dollars),4,Plains,9.8,1990,94,638800,North Dakota,225.60647283856164,0.0003531723118950558
Prescription Drugs (Millions of Dollars),3,Great Lakes,8.5,1990,1776,10847115,Ohio,4262.522295332824,0.00039296368622742766
Prescription Drugs (Millions of Dollars),6,Southwest,9.5,1990,516,3145576,Oklahoma,1238.4355317521042,0.00039370707678088344
Prescription Drugs (Millions of Dollars),8,Far West,9.7,1990,348,2842337,Oregon,835.223963274675,0.00029385113843807933
Prescription Drugs (Millions of Dollars),2,Mideast,9.8,1990,2239,11882842,Pennsylvania,5373.75417750574,0.00045222802571184064
Prescription Drugs (Millions of Dollars),1,New England,10.2,1990,180,1003464,Rhode Island,432.0123947972457,0.0004305210698114189
Prescription Drugs (Millions of Dollars),5,Southeast,10.8,1990,527,3486310,South Carolina,1264.8362892119358,0.0003628008665930269
Prescription Drugs (Millions of Dollars),4,Plains,9.7,1990,92,696004,South Dakota,220.80633511859224,0.0003172486582240795
Prescription Drugs (Millions of Dollars),5,Southeast,9.7,1990,943,4877203,Tennessee,2263.2649349655703,0.00046404977093747593
Prescription Drugs (Millions of Dollars),6,Southwest,10.3,1990,2581,16986335,Texas,6194.577727620505,0.0003646800635699523
Prescription Drugs (Millions of Dollars),7,Rocky Mountains,10.2,1990,227,1722850,Utah,544.8156312165265,0.0003162292893847558
Prescription Drugs (Millions of Dollars),1,New England,10.5,1990,87,562758,Vermont,208.80599081866876,0.0003710404664503548
Prescription Drugs (Millions of Dollars),5,Southeast,10.1,1990,1000,6189197,Virginia,2400.068859984698,0.0003877835622270059
Prescription Drugs (Millions of Dollars),8,Far West,9.5,1990,758,4866669,Washington,1819.2521958684013,0.00037381876512834576
Prescription Drugs (Millions of Dollars),5,Southeast,9.1,1990,368,1793477,West Virginia,883.225340474369,0.0004924653845431912
Prescription Drugs (Millions of Dollars),3,Great Lakes,9.9,1990,770,4891954,Wisconsin,1848.0530221882177,0.00037777399832218737
Prescription Drugs (Millions of Dollars),7,Rocky Mountains,8.3,1990,66,453589,Wyoming,158.40454475899008,0.00034922483737257756
Other Non-durable Medical Products (Millions of Dollars),5,Southeast,5.5,1990,332,4040389,Alabama,796.8228615149197,0.0001972143923555182
Other Non-durable Medical Products (Millions of Dollars),8,Far West,3.7,1990,66,550043,Alaska,158.40454475899008,0.0002879857479487787
Other Non-durable Medical Products (Millions of Dollars),6,Southwest,6.3,1990,370,3665339,Arizona,888.0254781943383,0.0002422764928958381
Other Non-durable Medical Products (Millions of Dollars),5,Southeast,5.9,1990,180,2350624,Arkansas,432.0123947972457,0.000183786260498168
Other Non-durable Medical Products (Millions of Dollars),8,Far West,5.4,1990,3036,29811427,California,7286.609058913544,0.000244423356819301
Other Non-durable Medical Products (Millions of Dollars),7,Rocky Mountains,5.8,1990,331,3294473,Colorado,794.422792654935,0.00024113804928889537
Other Non-durable Medical Products (Millions of Dollars),1,New England,4.7,1990,304,3287116,Connecticut,729.6209334353482,0.0002219638532486679
Other Non-durable Medical Products (Millions of Dollars),2,Mideast,5.1,1990,68,666168,Delaware,163.20468247895948,0.00024499027644522023
Other Non-durable Medical Products (Millions of Dollars),2,Mideast,2.5,1990,65,606900,District of Columbia,156.00447589900537,0.00025705136908717315
Other Non-durable Medical Products (Millions of Dollars),5,Southeast,6.7,1990,1356,12938071,Florida,3254.4933741392506,0.00025154394145303815
Other Non-durable Medical Products (Millions of Dollars),5,Southeast,4.1,1990,572,6478149,Georgia,1372.8393879112473,0.00021191846435011718
Other Non-durable Medical Products (Millions of Dollars),8,Far West,4.3,1990,171,1108229,Hawaii,410.4117750573834,0.00037033119965041827
Other Non-durable Medical Products (Millions of Dollars),7,Rocky Mountains,5.0,1990,81,1006734,Idaho,194.40557765876054,0.00019310520719351937
Other Non-durable Medical Products (Millions of Dollars),3,Great Lakes,4.2,1990,919,11430602,Illinois,2205.6632823259374,0.000192961252812926
Other Non-durable Medical Products (Millions of Dollars),3,Great Lakes,4.8,1990,423,5544156,Indiana,1015.2291277735274,0.00018311698440186882
Other Non-durable Medical Products (Millions of Dollars),4,Plains,4.9,1990,201,2776831,Iowa,482.4138408569243,0.00017372819622689473
Other Non-durable Medical Products (Millions of Dollars),4,Plains,4.9,1990,174,2477588,Kansas,417.6119816373375,0.00016855586224882326
Other Non-durable Medical Products (Millions of Dollars),5,Southeast,5.4,1990,293,3686892,Kentucky,703.2201759755166,0.00019073522521829132
Other Non-durable Medical Products (Millions of Dollars),5,Southeast,4.4,1990,379,4221826,Louisiana,909.6260979342006,0.00021545797906739894
Other Non-durable Medical Products (Millions of Dollars),1,New England,5.9,1990,83,1227928,Maine,199.20571537872993,0.00016222914973738683
Other Non-durable Medical Products (Millions of Dollars),2,Mideast,4.7,1990,500,4780753,Maryland,1200.034429992349,0.0002510136854994075
Other Non-durable Medical Products (Millions of Dollars),1,New England,4.5,1990,569,6016425,Massachusetts,1365.6391813312935,0.00022698515835089665
Other Non-durable Medical Products (Millions of Dollars),3,Great Lakes,5.0,1990,721,9295287,Michigan,1730.4496480489674,0.00018616419784014927
Other Non-durable Medical Products (Millions of Dollars),4,Plains,5.0,1990,359,4375665,Minnesota,861.6247207345067,0.00019691286255563593
Other Non-durable Medical Products (Millions of Dollars),5,Southeast,5.3,1990,186,2575475,Mississippi,446.41280795715386,0.0001733322233596342
Other Non-durable Medical Products (Millions of Dollars),4,Plains,5.0,1990,395,5116901,Missouri,948.0271996939558,0.0001852737036917376
Other Non-durable Medical Products (Millions of Dollars),7,Rocky Mountains,4.9,1990,78,799065,Montana,187.20537107880645,0.00023428052921703045
Other Non-durable Medical Products (Millions of Dollars),4,Plains,5.3,1990,117,1578417,Nebraska,280.8080566182097,0.00017790486076759798
Other Non-durable Medical Products (Millions of Dollars),8,Far West,8.0,1990,140,1201675,Nevada,336.00964039785777,0.00027961773391129693
Other Non-durable Medical Products (Millions of Dollars),1,New England,6.0,1990,106,1109252,New Hampshire,254.40729915837798,0.00022935031819494396
Other Non-durable Medical Products (Millions of Dollars),2,Mideast,5.2,1990,788,7747750,New Jersey,1891.2542616679423,0.00024410367676653768
Other Non-durable Medical Products (Millions of Dollars),6,Southwest,5.8,1990,137,1515069,New Mexico,328.80943381790365,0.00021702604555825752
Other Non-durable Medical Products (Millions of Dollars),2,Mideast,5.3,1990,1624,17990778,New York,3897.71182861515,0.00021665054332920732
Other Non-durable Medical Products (Millions of Dollars),5,Southeast,5.9,1990,542,6632448,North Carolina,1300.8373221117065,0.0001961323062181123
Other Non-durable Medical Products (Millions of Dollars),4,Plains,5.5,1990,50,638800,North Dakota,120.0034429992349,0.00018785761271013603
Other Non-durable Medical Products (Millions of Dollars),3,Great Lakes,4.9,1990,924,10847115,Ohio,2217.663626625861,0.00020444732323994546
Other Non-durable Medical Products (Millions of Dollars),6,Southwest,4.9,1990,260,3145576,Oklahoma,624.0179035960215,0.00019837953481207304
Other Non-durable Medical Products (Millions of Dollars),8,Far West,4.0,1990,289,2842337,Oregon,693.6199005355777,0.00024403154887530146
Other Non-durable Medical Products (Millions of Dollars),2,Mideast,4.9,1990,979,11882842,Pennsylvania,2349.6674139250194,0.00019773614880388206
Other Non-durable Medical Products (Millions of Dollars),1,New England,4.7,1990,94,1003464,Rhode Island,225.60647283856164,0.00022482766979040766
Other Non-durable Medical Products (Millions of Dollars),5,Southeast,5.5,1990,281,3486310,South Carolina,674.4193496557002,0.0001934479004034926
Other Non-durable Medical Products (Millions of Dollars),4,Plains,4.7,1990,50,696004,South Dakota,120.0034429992349,0.00017241774903482582
Other Non-durable Medical Products (Millions of Dollars),5,Southeast,5.7,1990,407,4877203,Tennessee,976.8280260137722,0.00020028447165594136
Other Non-durable Medical Products (Millions of Dollars),6,Southwest,6.0,1990,1662,16986335,Texas,3988.9144452945684,0.0002348307887071913
Other Non-durable Medical Products (Millions of Dollars),7,Rocky Mountains,7.2,1990,150,1722850,Utah,360.01032899770473,0.00020896208549653467
Other Non-durable Medical Products (Millions of Dollars),1,New England,4.6,1990,41,562758,Vermont,98.40282325937262,0.0001748581508559143
Other Non-durable Medical Products (Millions of Dollars),5,Southeast,5.1,1990,580,6189197,Virginia,1392.039938791125,0.00022491446609166342
Other Non-durable Medical Products (Millions of Dollars),8,Far West,4.7,1990,502,4866669,Washington,1204.8345677123184,0.00024756862809291496
Other Non-durable Medical Products (Millions of Dollars),5,Southeast,4.6,1990,141,1793477,West Virginia,338.40970925784245,0.00018868918266464664
Other Non-durable Medical Products (Millions of Dollars),3,Great Lakes,5.2,1990,336,4891954,Wisconsin,806.4231369548585,0.0001648468356314999
Other Non-durable Medical Products (Millions of Dollars),7,Rocky Mountains,5.1,1990,35,453589,Wyoming,84.00241009946444,0.00018519498951576082
Durable Medical Products (Millions of Dollars),5,Southeast,7.1,1990,212,4040389,Alabama,508.81459831675596,0.00012593208186557184
Durable Medical Products (Millions of Dollars),8,Far West,7.6,1990,30,550043,Alaska,72.00206579954094,0.00013090261270399031
Durable Medical Products (Millions of Dollars),6,Southwest,7.5,1990,315,3665339,Arizona,756.0216908951799,0.00020626241962753782
Durable Medical Products (Millions of Dollars),5,Southeast,7.4,1990,83,2350624,Arkansas,199.20571537872993,8.474588678526636e-05
Durable Medical Products (Millions of Dollars),8,Far West,7.7,1990,1129,29811427,California,2709.6777429227245,9.089392946277695e-05
Durable Medical Products (Millions of Dollars),7,Rocky Mountains,7.7,1990,272,3294473,Colorado,652.8187299158379,0.00019815573838845787
Durable Medical Products (Millions of Dollars),1,New England,6.8,1990,170,3287116,Connecticut,408.01170619739867,0.00012412452319826822
Durable Medical Products (Millions of Dollars),2,Mideast,7.9,1990,52,666168,Delaware,124.8035807192043,0.0001873455055169331
Durable Medical Products (Millions of Dollars),2,Mideast,5.0,1990,38,606900,District of Columbia,91.20261667941853,0.0001502761850048089
Durable Medical Products (Millions of Dollars),5,Southeast,8.7,1990,1327,12938071,Florida,3184.8913771996945,0.00024616431438656463
Durable Medical Products (Millions of Dollars),5,Southeast,7.7,1990,408,6478149,Georgia,979.2280948737568,0.0001511586249210626
Durable Medical Products (Millions of Dollars),8,Far West,8.2,1990,62,1108229,Hawaii,148.8042693190513,0.00013427213086740313
Durable Medical Products (Millions of Dollars),7,Rocky Mountains,7.7,1990,64,1006734,Idaho,153.60440703902069,0.00015257695383191655
Durable Medical Products (Millions of Dollars),3,Great Lakes,7.0,1990,501,11430602,Illinois,1202.4344988523337,0.00010519432824730786
Durable Medical Products (Millions of Dollars),3,Great Lakes,6.6,1990,369,5544156,Indiana,885.6254093343537,0.00015974034809524725
Durable Medical Products (Millions of Dollars),4,Plains,6.0,1990,170,2776831,Iowa,408.01170619739867,0.00014693429531627912
Durable Medical Products (Millions of Dollars),4,Plains,6.6,1990,113,2477588,Kansas,271.2077811782709,0.00010946443927653464
Durable Medical Products (Millions of Dollars),5,Southeast,7.3,1990,194,3686892,Kentucky,465.61335883703146,0.00012628885219231577
Durable Medical Products (Millions of Dollars),5,Southeast,6.2,1990,192,4221826,Louisiana,460.813221117062,0.00010915021630855039
Durable Medical Products (Millions of Dollars),1,New England,7.1,1990,49,1227928,Maine,117.6033741392502,9.577383538713198e-05
Durable Medical Products (Millions of Dollars),2,Mideast,7.5,1990,240,4780753,Maryland,576.0165263963275,0.00012048656903971561
Durable Medical Products (Millions of Dollars),1,New England,7.9,1990,328,6016425,Massachusetts,787.222586074981,0.00013084557458540263
Durable Medical Products (Millions of Dollars),3,Great Lakes,7.9,1990,704,9295287,Michigan,1689.6484774292276,0.00018177475073434822
Durable Medical Products (Millions of Dollars),4,Plains,6.3,1990,303,4375665,Minnesota,727.2208645753635,0.0001661966500121384
Durable Medical Products (Millions of Dollars),5,Southeast,8.3,1990,111,2575475,Mississippi,266.4076434583015,0.0001034401978113946
Durable Medical Products (Millions of Dollars),4,Plains,6.8,1990,200,5116901,Missouri,480.0137719969396,9.380947022366461e-05
Durable Medical Products (Millions of Dollars),7,Rocky Mountains,7.3,1990,46,799065,Montana,110.40316755929612,0.0001381654403074795
Durable Medical Products (Millions of Dollars),4,Plains,6.1,1990,118,1578417,Nebraska,283.2081254781944,0.000179425415133133
Durable Medical Products (Millions of Dollars),8,Far West,9.5,1990,75,1201675,Nevada,180.00516449885237,0.00014979521459533766
Durable Medical Products (Millions of Dollars),1,New England,9.2,1990,55,1109252,New Hampshire,132.0037872991584,0.00011900252359171622
Durable Medical Products (Millions of Dollars),2,Mideast,7.6,1990,453,7747750,New Jersey,1087.2311935730681,0.000140328636516804
Durable Medical Products (Millions of Dollars),6,Southwest,8.0,1990,115,1515069,New Mexico,276.0079188982403,0.00018217514773138403
Durable Medical Products (Millions of Dollars),2,Mideast,6.9,1990,772,17990778,New York,1852.853159908187,0.00010298905138555915
Durable Medical Products (Millions of Dollars),5,Southeast,8.0,1990,397,6632448,North Carolina,952.8273374139252,0.00014366148628891252
Durable Medical Products (Millions of Dollars),4,Plains,8.4,1990,36,638800,North Dakota,86.40247895944913,0.00013525748115129793
Durable Medical Products (Millions of Dollars),3,Great Lakes,6.2,1990,552,10847115,Ohio,1324.8380107115534,0.00012213736193555184
Durable Medical Products (Millions of Dollars),6,Southwest,6.8,1990,158,3145576,Oklahoma,379.2108798775823,0.00012055371730887515
Durable Medical Products (Millions of Dollars),8,Far West,7.7,1990,120,2842337,Oregon,288.0082631981638,0.00010132797877175147
Durable Medical Products (Millions of Dollars),2,Mideast,6.6,1990,649,11882842,Pennsylvania,1557.6446901300692,0.0001310835143756072
Durable Medical Products (Millions of Dollars),1,New England,7.8,1990,37,1003464,Rhode Island,88.80254781943383,8.849599768345832e-05
Durable Medical Products (Millions of Dollars),5,Southeast,8.8,1990,182,3486310,South Carolina,436.81253251721506,0.00012529365791258239
Durable Medical Products (Millions of Dollars),4,Plains,7.0,1990,36,696004,South Dakota,86.40247895944913,0.0001241407793050746
Durable Medical Products (Millions of Dollars),5,Southeast,7.9,1990,239,4877203,Tennessee,573.6164575363429,0.00011761176591098276
Durable Medical Products (Millions of Dollars),6,Southwest,7.8,1990,952,16986335,Texas,2284.8655547054327,0.00013451198005369803
Durable Medical Products (Millions of Dollars),7,Rocky Mountains,6.5,1990,139,1722850,Utah,333.609571537873,0.00019363819922678876
Durable Medical Products (Millions of Dollars),1,New England,7.1,1990,23,562758,Vermont,55.20158377964806,9.809115779722023e-05
Durable Medical Products (Millions of Dollars),5,Southeast,8.1,1990,304,6189197,Virginia,729.6209334353482,0.00011788620291700979
Durable Medical Products (Millions of Dollars),8,Far West,7.6,1990,297,4866669,Washington,712.8204514154553,0.00014646988554501143
Durable Medical Products (Millions of Dollars),5,Southeast,6.8,1990,123,1793477,West Virginia,295.2084697781179,0.00016460120189894706
Durable Medical Products (Millions of Dollars),3,Great Lakes,6.9,1990,237,4891954,Wisconsin,568.8163198163735,0.00011627589299007584
Durable Medical Products (Millions of Dollars),7,Rocky Mountains,6.2,1990,22,453589,Wyoming,52.80151491966336,0.00011640827912419252
Nursing Home Care (Millions of Dollars),5,Southeast,7.0,1990,445,4040389,Alabama,1068.0306426931907,0.0002643385680668843
Nursing Home Care (Millions of Dollars),8,Far West,6.6,1990,35,550043,Alaska,84.00241009946444,0.00015271971482132203
Nursing Home Care (Millions of Dollars),6,Southwest,9.7,1990,477,3665339,Arizona,1144.832846212701,0.0003123402354359859
Nursing Home Care (Millions of Dollars),5,Southeast,6.4,1990,354,2350624,Arkansas,849.6243764345832,0.0003614463123130637
Nursing Home Care (Millions of Dollars),8,Far West,7.3,1990,3274,29811427,California,7857.825447589902,0.0002635843446068483
Nursing Home Care (Millions of Dollars),7,Rocky Mountains,7.3,1990,470,3294473,Colorado,1128.0323641928082,0.00034240145971535
Nursing Home Care (Millions of Dollars),1,New England,6.6,1990,1281,3287116,Connecticut,3074.4882096403985,0.0009353147895116566
Nursing Home Care (Millions of Dollars),2,Mideast,9.4,1990,128,666168,Delaware,307.20881407804137,0.0004611581674262969
Nursing Home Care (Millions of Dollars),2,Mideast,7.7,1990,158,606900,District of Columbia,379.2108798775823,0.0006248325587042054
Nursing Home Care (Millions of Dollars),5,Southeast,9.9,1990,2090,12938071,Florida,5016.143917368019,0.00038770415754929924
Nursing Home Care (Millions of Dollars),5,Southeast,7.2,1990,808,6478149,Georgia,1939.2556388676362,0.0002993533552358299
Nursing Home Care (Millions of Dollars),8,Far West,7.7,1990,135,1108229,Hawaii,324.0092960979342,0.0002923667365661197
Nursing Home Care (Millions of Dollars),7,Rocky Mountains,8.0,1990,123,1006734,Idaho,295.2084697781179,0.00029323383314571464
Nursing Home Care (Millions of Dollars),3,Great Lakes,6.4,1990,2107,11430602,Illinois,5056.945087987759,0.0004424040910520512
Nursing Home Care (Millions of Dollars),3,Great Lakes,6.8,1990,1353,5544156,Indiana,3247.2931675592963,0.0005857146096825732
Nursing Home Care (Millions of Dollars),4,Plains,5.4,1990,674,2776831,Iowa,1617.6464116296866,0.000582551264959836
Nursing Home Care (Millions of Dollars),4,Plains,6.5,1990,538,2477588,Kansas,1291.2370466717675,0.0005211669763785454
Nursing Home Care (Millions of Dollars),5,Southeast,6.7,1990,565,3686892,Kentucky,1356.0389058913545,0.0003678000076734969
Nursing Home Care (Millions of Dollars),5,Southeast,6.8,1990,563,4221826,Louisiana,1351.2387681713851,0.00032006026969642643
Nursing Home Care (Millions of Dollars),1,New England,5.5,1990,331,1227928,Maine,794.422792654935,0.0006469620308804222
Nursing Home Care (Millions of Dollars),2,Mideast,8.5,1990,890,4780753,Maryland,2136.0612853863813,0.00044680436018894543
Nursing Home Care (Millions of Dollars),1,New England,6.2,1990,2213,6016425,Massachusetts,5311.3523871461375,0.0008828087090167562
Nursing Home Care (Millions of Dollars),3,Great Lakes,6.4,1990,1404,9295287,Michigan,3369.6966794185164,0.0003625166903849786
Nursing Home Care (Millions of Dollars),4,Plains,5.2,1990,1505,4375665,Minnesota,3612.1036342769708,0.000825498212106496
Nursing Home Care (Millions of Dollars),5,Southeast,7.1,1990,279,2575475,Mississippi,669.6192119357307,0.00025999833503945126
Nursing Home Care (Millions of Dollars),4,Plains,6.6,1990,1097,5116901,Missouri,2632.875539403214,0.0005145449441768004
Nursing Home Care (Millions of Dollars),7,Rocky Mountains,7.0,1990,134,799065,Montana,321.60922723794954,0.0004024819348087446
Nursing Home Care (Millions of Dollars),4,Plains,6.3,1990,335,1578417,Nebraska,804.0230680948738,0.0005093857124542334
Nursing Home Care (Millions of Dollars),8,Far West,10.0,1990,99,1201675,Nevada,237.60681713848513,0.0001977296832658457
Nursing Home Care (Millions of Dollars),1,New England,8.0,1990,210,1109252,New Hampshire,504.0144605967866,0.00045437327189564374
Nursing Home Care (Millions of Dollars),2,Mideast,7.5,1990,1651,7747750,New Jersey,3962.5136878347366,0.0005114405714994335
