Item,Region_Number,Region_Name,Average_Annual_Percent_Growth,Year,Spending,Population,State,SpendAdjust,perCapSpendAdjusted
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,11.1,2006,1552,7633859,Virginia,2414.907380952381,0.0003163416276030748
"Other Health, Residential, and Personal Care (Millions of Dollars)",8,Far West,9.0,2006,1547,6371097,Washington,2407.1273958333336,0.0003778199258045096
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,11.1,2006,755,1808136,West Virginia,1174.7777529761906,0.0006497175837305328
"Other Health, Residential, and Personal Care (Millions of Dollars)",3,Great Lakes,6.9,2006,1926,5571510,Wisconsin,2996.8502678571435,0.0005378883404781008
"Other Health, Residential, and Personal Care (Millions of Dollars)",7,Rocky Mountains,10.4,2006,202,512664,Wyoming,314.31139880952384,0.0006130943440723824
Personal Health Care (Millions of Dollars),5,Southeast,7.3,2007,27342,4634063,Alabama,41365.881673756405,0.008926482370601436
Personal Health Care (Millions of Dollars),8,Far West,8.6,2007,5276,679893,Alaska,7982.093179384785,0.011740219680721503
Personal Health Care (Millions of Dollars),6,Southwest,8.7,2007,34111,6360238,Arizona,51606.74382903608,0.008113964261877634
Personal Health Care (Millions of Dollars),5,Southeast,7.6,2007,15826,2841595,Arkansas,23943.253725728504,0.008425990940203831
Personal Health Care (Millions of Dollars),8,Far West,7.3,2007,210323,36185908,California,318198.9734207252,0.008793450019845439
Personal Health Care (Millions of Dollars),7,Rocky Mountains,7.9,2007,27165,4837229,Colorado,41098.09727406893,0.008496206665855375
Personal Health Care (Millions of Dollars),1,New England,7.4,2007,27303,3488084,Connecticut,41306.87833145238,0.011842283136372972
Personal Health Care (Millions of Dollars),2,Mideast,8.7,2007,6476,865314,Delaware,9797.580634893075,0.011322572655582916
Personal Health Care (Millions of Dollars),2,Mideast,6.4,2007,7419,585916,District of Columbia,11224.251193680007,0.01915675829586495
Personal Health Care (Millions of Dollars),5,Southeast,8.6,2007,120856,18262096,Florida,182843.79326909164,0.010012201954753257
Personal Health Care (Millions of Dollars),5,Southeast,8.3,2007,50488,9526642,Georgia,76383.60887808548,0.008017894330246217
Personal Health Care (Millions of Dollars),8,Far West,7.4,2007,8087,1269796,Hawaii,12234.872543912954,0.009635305626977052
Personal Health Care (Millions of Dollars),7,Rocky Mountains,8.7,2007,7541,1498390,Idaho,11408.825751656685,0.007614056254817961
Personal Health Care (Millions of Dollars),3,Great Lakes,6.6,2007,79224,12775864,Illinois,119858.48181265735,0.009381634135480571
Personal Health Care (Millions of Dollars),3,Great Lakes,7.6,2007,40428,6344771,Indiana,61163.77237607431,0.009640028359742899
Personal Health Care (Millions of Dollars),4,Plains,6.6,2007,18340,2979867,Iowa,27746.699945018376,0.009311388711314423
Personal Health Care (Millions of Dollars),4,Plains,6.9,2007,17393,2773740,Kansas,26313.977761379752,0.009486822038612038
Personal Health Care (Millions of Dollars),5,Southeast,7.8,2007,26032,4254513,Kentucky,39383.97453482652,0.009256987705720143
Personal Health Care (Millions of Dollars),5,Southeast,7.1,2007,27524,4373448,Louisiana,41641.23060450849,0.009521373205879775
Personal Health Care (Millions of Dollars),1,New England,7.7,2007,9939,1315749,Maine,15036.774850247419,0.011428300420708979
Personal Health Care (Millions of Dollars),2,Mideast,7.6,2007,38424,5627211,Maryland,58131.908325375465,0.010330500904511215
Personal Health Care (Millions of Dollars),1,New England,7.3,2007,57025,6499672,Massachusetts,86273.4767919669,0.01327351238523527
Personal Health Care (Millions of Dollars),3,Great Lakes,6.3,2007,60997,10051145,Michigan,92282.74026969934,0.009181316185340013
Personal Health Care (Millions of Dollars),4,Plains,7.4,2007,38145,5191267,Minnesota,57709.80749196979,0.011116709560877873
Personal Health Care (Millions of Dollars),5,Southeast,7.7,2007,17282,2920312,Mississippi,26146.045171745234,0.008953168418903609
Personal Health Care (Millions of Dollars),4,Plains,7.1,2007,38181,5905750,Missouri,57764.27211563504,0.009781022243683704
Personal Health Care (Millions of Dollars),7,Rocky Mountains,7.9,2007,5751,957123,Montana,8700.723630523482,0.00909049686458635
Personal Health Care (Millions of Dollars),4,Plains,7.4,2007,12083,1768745,Nebraska,18280.445770755563,0.010335263574317136
Personal Health Care (Millions of Dollars),8,Far West,9.5,2007,14256,2564816,Nevada,21567.990971438496,0.008409176709533353
Personal Health Care (Millions of Dollars),1,New England,8.9,2007,9125,1316496,New Hampshire,13805.269192927626,0.010486373823336817
Personal Health Care (Millions of Dollars),2,Mideast,7.5,2007,59153,8630810,New Jersey,89492.94121306826,0.010369008379638557
Personal Health Care (Millions of Dollars),6,Southwest,8.3,2007,10430,1966357,New Mexico,15779.611800792893,0.00802479498930911
Personal Health Care (Millions of Dollars),2,Mideast,7.0,2007,150434,19419540,New York,227592.53323494515,0.011719769532900633
Personal Health Care (Millions of Dollars),5,Southeast,8.7,2007,55152,9047856,North Carolina,83439.80345516103,0.009222052545394294
Personal Health Care (Millions of Dollars),4,Plains,7.6,2007,4932,637534,North Dakota,7461.653442139074,0.011703930209430516
Personal Health Care (Millions of Dollars),3,Great Lakes,7.0,2007,76841,11518989,Ohio,116253.22630726047,0.010092311600198635
Personal Health Care (Millions of Dollars),6,Southwest,7.2,2007,21009,3608759,Oklahoma,31784.6466273114,0.00880763903250713
Personal Health Care (Millions of Dollars),8,Far West,7.9,2007,22405,3730833,Oregon,33896.663700552715,0.009085548375001699
Personal Health Care (Millions of Dollars),2,Mideast,7.1,2007,92806,12517701,Pennsylvania,140406.77399658537,0.011216658234334353
Personal Health Care (Millions of Dollars),1,New England,7.1,2007,8323,1059706,Rhode Island,12591.91841016292,0.011882464013757513
Personal Health Care (Millions of Dollars),5,Southeast,8.5,2007,25094,4417059,South Carolina,37964.868507104205,0.008595055784200348
Personal Health Care (Millions of Dollars),4,Plains,8.0,2007,5416,795521,South Dakota,8193.900049194084,0.010300042424014054
Personal Health Care (Millions of Dollars),5,Southeast,7.8,2007,40397,6172788,Tennessee,61116.87228347368,0.009901015923999607
Personal Health Care (Millions of Dollars),6,Southwest,8.4,2007,133833,23824518,Texas,202476.7771942009,0.008498672552124702
Personal Health Care (Millions of Dollars),7,Rocky Mountains,8.7,2007,12988,2662908,Utah,19649.6258934514,0.007379010425238649
Personal Health Care (Millions of Dollars),1,New England,8.2,2007,4157,620438,Vermont,6289.151127123304,0.01013663110113066
Personal Health Care (Millions of Dollars),5,Southeast,8.1,2007,44133,7705466,Virginia,66769.08989495615,0.008665159238254526
Personal Health Care (Millions of Dollars),8,Far West,8.2,2007,39661,6464167,Washington,60003.373310761934,0.009282460262979273
Personal Health Care (Millions of Dollars),5,Southeast,7.1,2007,12091,1812295,West Virginia,18292.54902045895,0.010093582457855344
Personal Health Care (Millions of Dollars),3,Great Lakes,7.4,2007,38244,5601508,Wisconsin,57859.58520704922,0.010329287257475882
Personal Health Care (Millions of Dollars),7,Rocky Mountains,7.6,2007,2960,523226,Wyoming,4478.202390253784,0.008558830008932629
Hospital Care (Millions of Dollars),5,Southeast,6.2,2007,9222,4634063,Alabama,13952.021095581213,0.003010753435070091
Hospital Care (Millions of Dollars),8,Far West,8.5,2007,2238,679893,Alaska,3385.8841045229624,0.004980024951754118
Hospital Care (Millions of Dollars),6,Southwest,8.2,2007,11955,6360238,Arizona,18086.793775501344,0.0028437290830156583
Hospital Care (Millions of Dollars),5,Southeast,7.0,2007,5607,2841595,Arkansas,8482.865135862488,0.0029852477696021033
Hospital Care (Millions of Dollars),8,Far West,6.8,2007,69131,36185908,California,104588.7194056197,0.002890316291237454
Hospital Care (Millions of Dollars),7,Rocky Mountains,7.7,2007,9695,4837229,Colorado,14667.625734294064,0.0030322372032198733
Hospital Care (Millions of Dollars),1,New England,6.5,2007,7995,3488084,Connecticut,12095.685172323987,0.003467716136516204
Hospital Care (Millions of Dollars),2,Mideast,8.1,2007,2370,865314,Delaware,3585.587724628874,0.004143683939736182
Hospital Care (Millions of Dollars),2,Mideast,5.8,2007,4426,585916,District of Columbia,6696.122898399746,0.011428469095228235
Hospital Care (Millions of Dollars),5,Southeast,7.7,2007,37767,18262096,Florida,57137.92894348468,0.0031287716888294026
Hospital Care (Millions of Dollars),5,Southeast,7.5,2007,17667,9526642,Georgia,26728.514063720806,0.002805659545485262
Hospital Care (Millions of Dollars),8,Far West,7.3,2007,2838,1269796,Hawaii,4293.627832277108,0.003381352463133533
Hospital Care (Millions of Dollars),7,Rocky Mountains,9.1,2007,2773,1498390,Idaho,4195.288928437075,0.0027998644734929324
Hospital Care (Millions of Dollars),3,Great Lakes,5.7,2007,30630,12775864,Illinois,46340.317301849114,0.003627176784431105
Hospital Care (Millions of Dollars),3,Great Lakes,7.3,2007,15848,6344771,Indiana,23976.537662412822,0.0037789445296627444
Hospital Care (Millions of Dollars),4,Plains,6.3,2007,6998,2979867,Iowa,10587.31767803918,0.0035529497383739546
Hospital Care (Millions of Dollars),4,Plains,6.3,2007,6167,2773740,Kansas,9330.09261509969,0.0033637228489691497
Hospital Care (Millions of Dollars),5,Southeast,7.4,2007,10236,4254513,Kentucky,15486.10799548572,0.0036399249445202586
Hospital Care (Millions of Dollars),5,Southeast,6.4,2007,10254,4373448,Louisiana,15513.340307318344,0.0035471646872944056
Hospital Care (Millions of Dollars),1,New England,7.3,2007,3706,1315749,Maine,5606.830425094771,0.004261322201342939
Hospital Care (Millions of Dollars),2,Mideast,6.7,2007,13418,5627211,Maryland,20300.175565008536,0.0036075021116159563
Hospital Care (Millions of Dollars),1,New England,6.2,2007,22019,6499672,Massachusetts,33312.68190236421,0.00512528661482675
Hospital Care (Millions of Dollars),3,Great Lakes,5.9,2007,24470,10051145,Michigan,37020.81503023989,0.003683243553867733
Hospital Care (Millions of Dollars),4,Plains,7.3,2007,13126,5191267,Minnesota,19858.40695083485,0.0038253487926617627
Hospital Care (Millions of Dollars),5,Southeast,7.1,2007,7045,2920312,Mississippi,10658.424270046591,0.003649755324104613
Hospital Care (Millions of Dollars),4,Plains,6.6,2007,16822,5905750,Missouri,25450.108313800385,0.0043093778628963955
Hospital Care (Millions of Dollars),7,Rocky Mountains,8.1,2007,2450,957123,Montana,3706.6202216627603,0.0038726686347133653
Hospital Care (Millions of Dollars),4,Plains,7.0,2007,5080,1768745,Nebraska,7685.563561651764,0.004345207229788219
Hospital Care (Millions of Dollars),8,Far West,8.7,2007,4629,2564816,Nevada,7003.242859623231,0.002730504979547551
Hospital Care (Millions of Dollars),1,New England,8.5,2007,3452,1316496,New Hampshire,5222.552247012183,0.003967009582263967
Hospital Care (Millions of Dollars),2,Mideast,6.5,2007,17585,8630810,New Jersey,26604.455754261075,0.0030824981379802214
Hospital Care (Millions of Dollars),6,Southwest,8.0,2007,3965,1966357,New Mexico,5998.673134241977,0.0030506531287258503
Hospital Care (Millions of Dollars),2,Mideast,6.2,2007,53675,19419540,New York,81205.24097867293,0.004181625361809441
Hospital Care (Millions of Dollars),5,Southeast,8.2,2007,19746,9047856,North Carolina,29873.846080388925,0.0033017596743790934
Hospital Care (Millions of Dollars),4,Plains,7.7,2007,2033,637534,North Dakota,3075.7383308736294,0.004824430274892993
Hospital Care (Millions of Dollars),3,Great Lakes,6.8,2007,30679,11518989,Ohio,46414.44970628237,0.004029385713128329
Hospital Care (Millions of Dollars),6,Southwest,6.9,2007,7865,3608759,Oklahoma,11899.007364643923,0.003297257413045294
Hospital Care (Millions of Dollars),8,Far West,7.8,2007,7618,3730833,Oregon,11525.319530051798,0.0030892081017970512
Hospital Care (Millions of Dollars),2,Mideast,6.1,2007,34389,12517701,Pennsylvania,52027.33175622884,0.004156300885939746
Hospital Care (Millions of Dollars),1,New England,6.3,2007,2928,1059706,Rhode Island,4429.789391440229,0.004180206011327886
Hospital Care (Millions of Dollars),5,Southeast,8.0,2007,9607,4417059,South Carolina,14534.48998755679,0.003290535622810741
Hospital Care (Millions of Dollars),4,Plains,8.3,2007,2485,795521,South Dakota,3759.571939115085,0.004725924191963613
Hospital Care (Millions of Dollars),5,Southeast,6.8,2007,14197,6172788,Tennessee,21478.729504876002,0.0034795832134322455
Hospital Care (Millions of Dollars),6,Southwest,8.0,2007,48872,23824518,Texas,73938.75243800099,0.003103473171545422
Hospital Care (Millions of Dollars),7,Rocky Mountains,8.7,2007,4657,2662908,Utah,7045.604233585092,0.0026458308862285485
Hospital Care (Millions of Dollars),1,New England,8.2,2007,1650,620438,Vermont,2496.2952513238997,0.0040234402975380295
Hospital Care (Millions of Dollars),5,Southeast,7.4,2007,16011,7705466,Virginia,24223.141375119365,0.0031436309465409833
Hospital Care (Millions of Dollars),8,Far West,8.5,2007,13938,6464167,Washington,21086.8867957288,0.0032621197434609594
Hospital Care (Millions of Dollars),5,Southeast,6.3,2007,4928,1812295,West Virginia,7455.60181728738,0.004113900781764216
Hospital Care (Millions of Dollars),3,Great Lakes,7.1,2007,13933,5601508,Wisconsin,21079.322264664177,0.003763151327225486
Hospital Care (Millions of Dollars),7,Rocky Mountains,7.7,2007,1180,523226,Wyoming,1785.229331249819,0.003411966017074494
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.6,2007,6729,4634063,Alabama,10180.34590676274,0.0021968509937743052
Physician & Clinical Services (Millions of Dollars),8,Far West,8.8,2007,1454,679893,Alaska,2199.7656335908787,0.003235458570085114
Physician & Clinical Services (Millions of Dollars),6,Southwest,8.7,2007,8819,6360238,Arizona,13342.319891773013,0.0020977705381108403
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.5,2007,3745,2841595,Arkansas,5665.833767398791,0.001993892080820381
Physician & Clinical Services (Millions of Dollars),8,Far West,7.2,2007,61158,36185908,California,92526.31816998002,0.002556971022254852
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,8.0,2007,7187,4837229,Colorado,10873.256952281738,0.002247827620375578
Physician & Clinical Services (Millions of Dollars),1,New England,7.7,2007,6148,3488084,Connecticut,9301.347397054142,0.002666606479962679
Physician & Clinical Services (Millions of Dollars),2,Mideast,8.6,2007,1535,865314,Delaware,2322.3110368376883,0.002683778416664573
Physician & Clinical Services (Millions of Dollars),2,Mideast,6.5,2007,1282,585916,District of Columbia,1939.5457649680238,0.003310279570737143
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.5,2007,33045,18262096,Florida,49993.98580605956,0.002737582028155999
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.8,2007,13674,9526642,Georgia,20687.47955551697,0.002171539515761899
Physician & Clinical Services (Millions of Dollars),8,Far West,7.1,2007,2171,1269796,Hawaii,3284.5193882570825,0.0025866512323688864
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,7.9,2007,1603,1498390,Idaho,2425.188659316492,0.0016185296613808768
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,7.1,2007,18195,12775864,Illinois,27527.328544144457,0.0021546353768437465
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,7.9,2007,9366,6344771,Indiana,14169.879590242208,0.0022333161575480358
Physician & Clinical Services (Millions of Dollars),4,Plains,6.5,2007,3405,2979867,Iowa,5151.445655004775,0.0017287501942216802
Physician & Clinical Services (Millions of Dollars),4,Plains,7.0,2007,4331,2773740,Kansas,6552.396808172006,0.002362296685403825
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.8,2007,5614,4254513,Kentucky,8493.455479352953,0.0019963402343236352
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.2,2007,6154,4373448,Louisiana,9310.424834331685,0.0021288523001374853
Physician & Clinical Services (Millions of Dollars),1,New England,8.1,2007,1783,1315749,Maine,2697.5117776427355,0.002050172014299639
Physician & Clinical Services (Millions of Dollars),2,Mideast,8.1,2007,9551,5627211,Maryland,14449.76723963307,0.0025678381776750633
Physician & Clinical Services (Millions of Dollars),1,New England,8.4,2007,12258,6499672,Massachusetts,18545.20435801719,0.0028532523422746853
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,6.1,2007,12104,10051145,Michigan,18312.216801226958,0.001821903554393749
Physician & Clinical Services (Millions of Dollars),4,Plains,7.4,2007,9089,5191267,Minnesota,13750.804569262376,0.0026488340070472925
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.7,2007,3505,2920312,Mississippi,5302.7362762971325,0.001815811555853324
Physician & Clinical Services (Millions of Dollars),4,Plains,7.1,2007,7268,5905750,Missouri,10995.802355528547,0.001861880769678457
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,7.4,2007,1214,957123,Montana,1836.6681424892208,0.0019189468255273573
Physician & Clinical Services (Millions of Dollars),4,Plains,7.6,2007,2510,1768745,Nebraska,3797.3945944381744,0.00214694294227725
Physician & Clinical Services (Millions of Dollars),8,Far West,9.7,2007,4223,2564816,Nevada,6389.002937176259,0.002491018044638001
Physician & Clinical Services (Millions of Dollars),1,New England,9.2,2007,2085,1316496,New Hampshire,3154.409453945655,0.002396064594154221
Physician & Clinical Services (Millions of Dollars),2,Mideast,8.0,2007,15551,8630810,New Jersey,23527.204517174523,0.0027259555612016164
Physician & Clinical Services (Millions of Dollars),6,Southwest,8.0,2007,2172,1966357,New Mexico,3286.032294470006,0.0016711270102377168
Physician & Clinical Services (Millions of Dollars),2,Mideast,7.4,2007,29299,19419540,New York,44326.63913244784,0.0022825792543205367
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.8,2007,11913,9047856,North Carolina,18023.251714558555,0.0019919914413490396
Physician & Clinical Services (Millions of Dollars),4,Plains,6.6,2007,978,637534,North Dakota,1479.6222762392567,0.0023208523407994815
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,6.7,2007,15968,11518989,Ohio,24158.086407963656,0.0020972401664732603
Physician & Clinical Services (Millions of Dollars),6,Southwest,7.0,2007,4654,3608759,Oklahoma,7041.065514946321,0.0019511043865623394
Physician & Clinical Services (Millions of Dollars),8,Far West,7.7,2007,5978,3730833,Oregon,9044.153340857134,0.00242416461440572
Physician & Clinical Services (Millions of Dollars),2,Mideast,7.6,2007,19478,12517701,Pennsylvania,29468.387215325405,0.00235413733043515
Physician & Clinical Services (Millions of Dollars),1,New England,7.3,2007,1589,1059706,Rhode Island,2404.0079723355616,0.002268561254098365
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.6,2007,5646,4417059,South Carolina,8541.868478166507,0.0019338361742884818
Physician & Clinical Services (Millions of Dollars),4,Plains,7.7,2007,1136,795521,South Dakota,1718.6614578811818,0.0021604224877547944
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.3,2007,10226,6172788,Tennessee,15470.978933356484,0.0025063194999336577
Physician & Clinical Services (Millions of Dollars),6,Southwest,8.2,2007,34401,23824518,Texas,52045.486630783926,0.0021845347146491664
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,8.5,2007,3101,2662908,Utah,4691.522166276008,0.0017618040751974937
Physician & Clinical Services (Millions of Dollars),1,New England,8.1,2007,742,620438,Vermont,1122.576409989293,0.0018093289095595258
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.5,2007,10943,7705466,Virginia,16555.732688022686,0.0021485699486601703
Physician & Clinical Services (Millions of Dollars),8,Far West,8.4,2007,10525,6464167,Washington,15923.337891020632,0.0024633240278322996
Physician & Clinical Services (Millions of Dollars),5,Southeast,6.7,2007,2227,1812295,West Virginia,3369.242136180803,0.0018591024839669055
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,7.7,2007,10223,5601508,Wisconsin,15466.440214717713,0.0027611207936715817
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,7.2,2007,609,523226,Wyoming,921.3598836704575,0.0017609214444053957
Other Professional Services (Millions of Dollars),5,Southeast,10.0,2007,593,4634063,Alabama,897.1533842636803,0.00019359973834272005
Other Professional Services (Millions of Dollars),8,Far West,11.1,2007,193,679893,Alaska,291.9908990942501,0.00042946595875270095
Other Professional Services (Millions of Dollars),6,Southwest,11.2,2007,1195,6360238,Arizona,1807.9229244436729,0.00028425397358458485
Other Professional Services (Millions of Dollars),5,Southeast,10.3,2007,481,2841595,Arkansas,727.7078884162398,0.0002560913460279314
Other Professional Services (Millions of Dollars),8,Far West,8.5,2007,7222,36185908,California,10926.208669734062,0.00030194651104883323
Other Professional Services (Millions of Dollars),7,Rocky Mountains,10.8,2007,1068,4837229,Colorado,1615.7838354023786,0.0003340308749911114
Other Professional Services (Millions of Dollars),1,New England,9.7,2007,923,3488084,Connecticut,1396.4124345284604,0.00040033796047585446
Other Professional Services (Millions of Dollars),2,Mideast,11.4,2007,189,865314,Delaware,285.93927424255577,0.0003304456812701005
Other Professional Services (Millions of Dollars),2,Mideast,8.7,2007,130,585916,District of Columbia,196.6778076800648,0.0003356757755037664
Other Professional Services (Millions of Dollars),5,Southeast,11.1,2007,4264,18262096,Florida,6451.032091906127,0.00035324708028619095
Other Professional Services (Millions of Dollars),5,Southeast,10.9,2007,1625,9526642,Georgia,2458.4725960008104,0.00025806287210129345
Other Professional Services (Millions of Dollars),8,Far West,9.9,2007,276,1269796,Hawaii,417.56211476690686,0.00032884188859226744
Other Professional Services (Millions of Dollars),7,Rocky Mountains,10.6,2007,329,1498390,Idaho,497.7461440518564,0.00033218731041441575
Other Professional Services (Millions of Dollars),3,Great Lakes,9.9,2007,2820,12775864,Illinois,4266.395520444483,0.00033394183911510664
Other Professional Services (Millions of Dollars),3,Great Lakes,9.4,2007,988,6344771,Indiana,1494.7513383684927,0.0002355879098502519
Other Professional Services (Millions of Dollars),4,Plains,8.2,2007,549,2979867,Iowa,830.585510895043,0.0002787324101696629
Other Professional Services (Millions of Dollars),4,Plains,8.8,2007,535,2773740,Kansas,809.404823914113,0.0002918099114964319
Other Professional Services (Millions of Dollars),5,Southeast,10.5,2007,716,4254513,Kentucky,1083.24084845328,0.0002546098339465128
Other Professional Services (Millions of Dollars),5,Southeast,10.0,2007,741,4373448,Louisiana,1121.0635037763695,0.00025633401923982397
Other Professional Services (Millions of Dollars),1,New England,10.4,2007,353,1315749,Maine,534.0558931620221,0.00040589496413223354
Other Professional Services (Millions of Dollars),2,Mideast,10.2,2007,1281,5627211,Maryland,1938.0328587551005,0.0003444038012356566
Other Professional Services (Millions of Dollars),1,New England,9.6,2007,1463,6499672,Massachusetts,2213.381789507191,0.0003405374593529014
Other Professional Services (Millions of Dollars),3,Great Lakes,8.5,2007,2037,10051145,Michigan,3081.789955725323,0.0003066108344596882
Other Professional Services (Millions of Dollars),4,Plains,9.5,2007,1094,5191267,Minnesota,1655.1193969383914,0.0003188276382120957
Other Professional Services (Millions of Dollars),5,Southeast,10.3,2007,351,2920312,Mississippi,531.030080736175,0.0001818401871910176
Other Professional Services (Millions of Dollars),4,Plains,9.5,2007,1095,5905750,Missouri,1656.6323031513152,0.00028051175602612966
Other Professional Services (Millions of Dollars),7,Rocky Mountains,9.5,2007,195,957123,Montana,295.0167115200972,0.00030823280970167596
Other Professional Services (Millions of Dollars),4,Plains,10.0,2007,381,1768745,Nebraska,576.4172671238823,0.00032589054223411645
Other Professional Services (Millions of Dollars),8,Far West,11.9,2007,476,2564816,Nevada,720.143357351622,0.0002807777857560238
Other Professional Services (Millions of Dollars),1,New England,9.7,2007,267,1316496,New Hampshire,403.94595885059465,0.00030683417104996496
Other Professional Services (Millions of Dollars),2,Mideast,10.2,2007,2201,8630810,New Jersey,3329.90657464479,0.0003858162298376155
Other Professional Services (Millions of Dollars),6,Southwest,9.9,2007,373,1966357,New Mexico,564.3140174204937,0.0002869845187931254
Other Professional Services (Millions of Dollars),2,Mideast,9.2,2007,4431,19419540,New York,6703.687429464363,0.00034520320406479055
Other Professional Services (Millions of Dollars),5,Southeast,11.0,2007,1648,9047856,North Carolina,2493.269438898052,0.00027556466845825707
Other Professional Services (Millions of Dollars),4,Plains,9.2,2007,107,637534,North Dakota,161.8809647828226,0.00025391738288910485
Other Professional Services (Millions of Dollars),3,Great Lakes,8.8,2007,2003,11518989,Ohio,3030.351144485922,0.0002630744021446606
Other Professional Services (Millions of Dollars),6,Southwest,9.5,2007,593,3608759,Oklahoma,897.1533842636803,0.00024860440507766806
Other Professional Services (Millions of Dollars),8,Far West,10.1,2007,888,3730833,Oregon,1343.4607170761349,0.0003600967175631112
Other Professional Services (Millions of Dollars),2,Mideast,9.7,2007,3020,12517701,Pennsylvania,4568.976763029198,0.00036500127004385213
Other Professional Services (Millions of Dollars),1,New England,10.3,2007,255,1059706,Rhode Island,385.7910842955118,0.0003640548268062196
Other Professional Services (Millions of Dollars),5,Southeast,10.8,2007,613,4417059,South Carolina,927.4115085221518,0.0002099613132906198
Other Professional Services (Millions of Dollars),4,Plains,9.5,2007,145,795521,South Dakota,219.37140087391847,0.0002757581520461666
Other Professional Services (Millions of Dollars),5,Southeast,10.7,2007,1109,6172788,Tennessee,1677.8129901322452,0.00027180797236714513
Other Professional Services (Millions of Dollars),6,Southwest,10.8,2007,3863,23824518,Texas,5844.356700523772,0.0002453084969242094
Other Professional Services (Millions of Dollars),7,Rocky Mountains,11.4,2007,416,2662908,Utah,629.3689845762075,0.00023634649960727427
Other Professional Services (Millions of Dollars),1,New England,10.2,2007,154,620438,Vermont,232.98755679023063,0.0003755210944368827
Other Professional Services (Millions of Dollars),5,Southeast,10.7,2007,1273,7705466,Virginia,1925.9296090517116,0.00024994330116461633
Other Professional Services (Millions of Dollars),8,Far West,10.2,2007,1679,6464167,Washington,2540.169531498683,0.0003929616192617987
Other Professional Services (Millions of Dollars),5,Southeast,9.3,2007,253,1812295,West Virginia,382.7652718696646,0.00021120472763521645
Other Professional Services (Millions of Dollars),3,Great Lakes,9.6,2007,1086,5601508,Wisconsin,1643.016147235003,0.0002933167545659139
Other Professional Services (Millions of Dollars),7,Rocky Mountains,10.0,2007,119,523226,Wyoming,180.0358393379055,0.00034408809833208877
Dental Services (Millions of Dollars),5,Southeast,6.3,2007,1135,4634063,Alabama,1717.1485516682583,0.00037054924623775254
Dental Services (Millions of Dollars),8,Far West,7.3,2007,290,679893,Alaska,438.74280174783695,0.0006453115442398098
Dental Services (Millions of Dollars),6,Southwest,8.0,2007,2036,6360238,Arizona,3080.2770495123996,0.0004843021675466232
Dental Services (Millions of Dollars),5,Southeast,7.0,2007,705,2841595,Arkansas,1066.5988801111207,0.00037535218076858973
Dental Services (Millions of Dollars),8,Far West,6.2,2007,14033,36185908,California,21230.612885956536,0.0005867094142271223
Dental Services (Millions of Dollars),7,Rocky Mountains,7.5,2007,1794,4837229,Colorado,2714.153745984894,0.0005610968068670916
Dental Services (Millions of Dollars),1,New England,6.1,2007,1508,3488084,Connecticut,2281.462569088752,0.0006540732875380157
Dental Services (Millions of Dollars),2,Mideast,6.9,2007,299,865314,Delaware,452.3589576641491,0.0005227685645489951
Dental Services (Millions of Dollars),2,Mideast,5.9,2007,248,585916,District of Columbia,375.20074080504673,0.0006403660948071852
Dental Services (Millions of Dollars),5,Southeast,7.3,2007,5410,18262096,Florida,8184.822611916545,0.00044818637531620384
Dental Services (Millions of Dollars),5,Southeast,7.5,2007,2841,9526642,Georgia,4298.166550915878,0.0004511733043937075
Dental Services (Millions of Dollars),8,Far West,5.5,2007,466,1269796,Hawaii,705.0142952223863,0.0005552185510289734
Dental Services (Millions of Dollars),7,Rocky Mountains,7.5,2007,540,1498390,Idaho,816.9693549787307,0.0005452314517440257
Dental Services (Millions of Dollars),3,Great Lakes,5.7,2007,3917,12775864,Illinois,5926.053636021646,0.00046384758291272084
Dental Services (Millions of Dollars),3,Great Lakes,6.4,2007,1861,6344771,Indiana,2815.518462250774,0.0004437541500316992
Dental Services (Millions of Dollars),4,Plains,5.8,2007,815,2979867,Iowa,1233.018563532714,0.00041378308613529197
Dental Services (Millions of Dollars),4,Plains,6.3,2007,847,2773740,Kansas,1281.4315623462687,0.0004619869066121081
Dental Services (Millions of Dollars),5,Southeast,6.6,2007,990,4254513,Kentucky,1497.7771507943398,0.00035204432347353033
